population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
1,2,7,1,1,456,1,2013,0,0,0
1,2,7,2,1,456,1,2013,0,0,0
1,2,7,3,1,456,1,2013,0,0,0
1,2,7,1,1,456,3,2013,0,0,0
1,2,7,2,1,456,3,2013,0,0,0
1,2,7,3,1,456,3,2013,0,0,0
1,2,7,1,6,456,1,2013,0,0,0
1,2,7,2,6,456,1,2013,0,0,0
1,2,7,3,6,456,1,2013,0,0,0
1,2,7,1,6,456,3,2013,0,0,0
1,2,7,2,6,456,3,2013,0,0,0
1,2,7,3,6,456,3,2013,0,0,0
1,2,7,1,7,456,1,2013,0,0,0
1,2,7,2,7,456,1,2013,0,0,0
1,2,7,3,7,456,1,2013,0,0,0
1,2,7,1,7,456,3,2013,0,0,0
1,2,7,2,7,456,3,2013,0,0,0
1,2,7,3,7,456,3,2013,0,0,0
1,2,7,1,8,456,1,2013,36.93339053583463,58.78854618848875,21.787919433470364
1,2,7,2,8,456,1,2013,20.352846992205624,28.594798301443035,13.35390707299117
1,2,7,3,8,456,1,2013,57.286237528040225,83.71280124563886,39.140701147860455
1,2,7,1,8,456,3,2013,3.4452074388488665,5.483892318285217,2.0324129742813906
1,2,7,2,8,456,3,2013,2.003750983529246,2.8151764341509273,1.314700810245931
1,2,7,3,8,456,3,2013,2.7439096697741006,4.009695430064734,1.874770503278096
1,2,16,1,1,456,1,2013,0,0,0
1,2,16,2,1,456,1,2013,0,0,0
1,2,16,3,1,456,1,2013,0,0,0
1,2,16,1,1,456,3,2013,0,0,0
1,2,16,2,1,456,3,2013,0,0,0
1,2,16,3,1,456,3,2013,0,0,0
1,2,16,1,6,456,1,2013,0,0,0
1,2,16,2,6,456,1,2013,0,0,0
1,2,16,3,6,456,1,2013,0,0,0
1,2,16,1,6,456,3,2013,0,0,0
1,2,16,2,6,456,3,2013,0,0,0
1,2,16,3,6,456,3,2013,0,0,0
1,2,16,1,7,456,1,2013,0,0,0
1,2,16,2,7,456,1,2013,0,0,0
1,2,16,3,7,456,1,2013,0,0,0
1,2,16,1,7,456,3,2013,0,0,0
1,2,16,2,7,456,3,2013,0,0,0
1,2,16,3,7,456,3,2013,0,0,0
1,2,16,1,8,456,1,2013,108.52216452210061,146.72733485559272,81.02300989283385
1,2,16,2,8,456,1,2013,65.51765364615989,84.95178539924572,50.32362067438654
1,2,16,3,8,456,1,2013,174.03981816826075,216.7101893106773,143.72580846264452
1,2,16,1,8,456,3,2013,2.0534728810866096,2.7763969173201786,1.533129700201134
1,2,16,2,8,456,3,2013,1.2886506104900382,1.6708957666308786,0.9898029141023471
1,2,16,3,8,456,3,2013,1.6784600937139487,2.0899780779333272,1.386108285335578
1,2,29,1,1,456,1,2013,0,0,0
1,2,29,2,1,456,1,2013,0,0,0
1,2,29,3,1,456,1,2013,0,0,0
1,2,29,1,1,456,3,2013,0,0,0
1,2,29,2,1,456,3,2013,0,0,0
1,2,29,3,1,456,3,2013,0,0,0
1,2,29,1,6,456,1,2013,0,0,0
1,2,29,2,6,456,1,2013,0,0,0
1,2,29,3,6,456,1,2013,0,0,0
1,2,29,1,6,456,3,2013,0,0,0
1,2,29,2,6,456,3,2013,0,0,0
1,2,29,3,6,456,3,2013,0,0,0
1,2,29,1,7,456,1,2013,0,0,0
1,2,29,2,7,456,1,2013,0,0,0
1,2,29,3,7,456,1,2013,0,0,0
1,2,29,1,7,456,3,2013,0,0,0
1,2,29,2,7,456,3,2013,0,0,0
1,2,29,3,7,456,3,2013,0,0,0
1,2,29,1,8,456,1,2013,0.007764939635505679,0.011091972599831265,0.005465470784919293
1,2,29,2,8,456,1,2013,0.031790769904401966,0.043025589099614875,0.022419112577628245
1,2,29,3,8,456,1,2013,0.039555709539907634,0.05141835463870805,0.02989062410833738
1,2,29,1,8,456,3,2013,0.1382202801713929,0.19744333277128556,0.09728844506476471
1,2,29,2,8,456,3,2013,0.6085197920911328,0.8235699422262438,0.42913316555812653
1,2,29,3,8,456,3,2013,0.3648350900145421,0.4742480987248272,0.2756908841732176
1,2,18,1,1,456,1,2013,0,0,0
1,2,18,2,1,456,1,2013,0,0,0
1,2,18,3,1,456,1,2013,0,0,0
1,2,18,1,1,456,3,2013,0,0,0
1,2,18,2,1,456,3,2013,0,0,0
