series,method,alpha,beta,phi,sigma2,AIC,AICc,BIC,RMSE,LjungBox_p
IE05|VLW|Low income,"ETS(A,Ad,N)",0.9998999982911665,0.5642381098313671,0.979999998013077,0.011888225216545346,-24.206974555408138,-21.095863444297027,-15.04881140771117,0.10069735250912756,0.41102492604367424
IE05|DALY|Low income,"ETS(A,Ad,N)",0.9985057126827661,0.9985054091833045,0.9799999575250353,1488563.0384034766,609.7409997197288,612.8521108308399,618.8991628674258,1126.7904460131417,0.7916232977789984
IE05|VLW|Lower middle income,"ETS(A,Ad,N)",0.7794339288278671,0.4681017781694742,0.9799999739162872,9.342904567870786,202.4650425254097,205.57615363652081,211.62320567310667,2.8229325202300073,0.5477826944133286
IE05|DALY|Lower middle income,"ETS(A,Ad,N)",0.6964869480039616,0.4478082566643504,0.9799999851347674,385457446.3557871,798.6660644352852,801.7771755463963,807.8242275829822,18132.085588096412,0.6846502106363203
IE05|VLW|Upper middle income,"ETS(A,Ad,N)",0.999899993602595,0.15507500058060059,0.979998421557341,450.12041387390536,334.2115727536431,337.3226838647542,343.36973590134005,19.594035708935433,0.007077276734104521
IE05|DALY|Upper middle income,"ETS(A,Ad,N)",0.9998997692083631,0.16228671775657227,0.9799999304587323,6509663683.429567,894.7708816497683,897.8819927608794,903.9290447974653,74514.16107406885,0.00617548134222401
IE05|VLW|Male,"ETS(A,Ad,N)",0.9998999164365178,0.17309767253582076,0.9799999929384804,256.3238339028829,315.06707334219004,318.1781844533011,324.22523648988704,14.78611350039545,0.0053823573865050545
IE05|VLW|Female,"ETS(A,Ad,N)",0.9998999996642008,0.9995114048536285,0.8871194771352773,51.155611122745256,260.27371253505737,263.38482364616846,269.43187568275437,6.60550733358962,0.02755938775869493
IE1|VLW|Low income,"ETS(A,Ad,N)",0.999899999045202,0.6067249636346762,0.975888548840234,3.4605784031444735e-4,-144.45469914397867,-141.34358803286756,-135.2965359962817,0.017180424367421072,0.43734586486322724
IE1|DALY|Low income,"ETS(A,Ad,N)",0.9985057126827661,0.9985054091833045,0.9799999575250353,1488563.0384034766,609.7409997197288,612.8521108308399,618.8991628674258,1126.7904460131417,0.7916232977789984
IE1|VLW|Lower middle income,"ETS(A,Ad,N)",0.877742136557764,0.4973734144765184,0.9799999881601358,1.0447226314203968,127.97560669359082,131.08671780470192,137.1337698412878,0.9439740199439611,0.5264697800004089
IE1|DALY|Lower middle income,"ETS(A,Ad,N)",0.6964869480039616,0.4478082566643504,0.9799999851347674,385457446.3557871,798.6660644352852,801.7771755463963,807.8242275829822,18132.085588096412,0.6846502106363203
IE1|VLW|Upper middle income,"ETS(A,Ad,N)",0.9998998812064148,0.14187475108961212,0.9799971452504666,140.38502923937062,294.5972793424844,297.7083904535955,303.7554424901814,10.942585252045639,0.00908755714266607
IE1|DALY|Upper middle income,"ETS(A,Ad,N)",0.9998997692083631,0.16228671775657227,0.9799999304587323,6509663683.429567,894.7708816497683,897.8819927608794,903.9290447974653,74514.16107406885,0.00617548134222401
IE1|VLW|Male,"ETS(A,Ad,N)",0.9998999157332225,0.15084082851350694,0.9799999913650346,76.15605462182357,273.80273412079947,276.91384523191056,282.9608972684964,8.059567905570162,0.009709674552963787
IE1|VLW|Female,"ETS(A,Ad,N)",0.9997965054968028,0.4085835045408853,0.979999977160857,15.926531705394055,220.59959511490095,223.71070622601206,229.75775826259792,3.6857013837117796,0.001678743098913138
IE15|VLW|Low income,"ETS(A,Ad,N)",0.999899880914871,0.9998525201310278,0.93454651865620475,1.0597633021263016e-5,-262.9778577569757,-259.8667466458646,-253.81969460927874,0.0030065191795429526,0.8537591870203767
IE15|DALY|Low income,"ETS(A,Ad,N)",0.9985057126827661,0.9985054091833045,0.9799999575250353,1488563.0384034766,609.7409997197288,612.8521108308399,618.8991628674258,1126.7904460131417,0.7916232977789984
IE15|VLW|Lower middle income,"ETS(A,Ad,N)",0.9703709085598503,0.6160975266169644,0.9799999933502455,0.11389305246316914,52.62321437470984,55.73432548582095,61.78137752240681,0.31167944134922004,0.49594151343741455
IE15|DALY|Lower middle income,"ETS(A,Ad,N)",0.6964869480039616,0.4478082566643504,0.9799999851347674,385457446.3557871,798.6660644352852,801.7771755463963,807.8242275829822,18132.085588096412,0.6846502106363203
IE15|VLW|Upper middle income,"ETS(A,Ad,N)",0.999899823370652,0.15124713226925185,0.9799999780506659,43.470456867162916,254.73883108570178,257.8499421968129,263.89699423339874,6.089149581180602,0.007744538606726414
IE15|DALY|Upper middle income,"ETS(A,Ad,N)",0.9998997692083631,0.16228671775657227,0.9799999304587323,6509663683.429567,894.7708816497683,897.8819927608794,903.9290447974653,74514.16107406885,0.00617548134222401
IE15|VLW|Male,"ETS(A,Ad,N)",0.9998403704494606,0.13776101907673916,0.9799999708123259,23.125802855499884,233.28032424917114,236.39143536028226,242.4384873968681,4.441277912312734,0.0130032658757685
IE15|VLW|Female,"ETS(A,Ad,N)",0.9998999606032934,0.33374845091664807,0.9799999931394289,4.758401304240217,179.52505776631864,182.63616887742975,188.6832209140156,2.014605769513686,0.0012414752938680884
