Year,Outcome,Point forecast,Lower 95% PI,Upper 95% PI,Method
2025,VLW,811.7139159084543,788.0766073826741,835.4070093713389,Joint simulation using income-group ETS forecast variances and empirical residual correlation
2030,VLW,904.4977285745166,843.0467140389568,965.180171211244,Joint simulation using income-group ETS forecast variances and empirical residual correlation
2035,VLW,988.3544768231643,888.0516205987244,1088.2013047341475,Joint simulation using income-group ETS forecast variances and empirical residual correlation
2040,VLW,1064.1432810093775,921.1120115438235,1207.4779703299962,Joint simulation using income-group ETS forecast variances and empirical residual correlation
2045,VLW,1132.6405569908884,945.5327649710339,1318.8789519394577,Joint simulation using income-group ETS forecast variances and empirical residual correlation
2050,VLW,1194.5479806338558,962.4434482510319,1426.3349155664387,Joint simulation using income-group ETS forecast variances and empirical residual correlation
2025,DALY,6864116.143930246,6683082.44558725,7044300.654274542,Joint simulation using income-group ETS forecast variances and empirical residual correlation
2030,DALY,7785994.470842719,7282770.204789074,8286048.052729569,Joint simulation using income-group ETS forecast variances and empirical residual correlation
2035,DALY,8619299.260586694,7755093.694289606,9483101.550145816,Joint simulation using income-group ETS forecast variances and empirical residual correlation
2040,DALY,9372540.607452843,8106103.191466688,10642931.601166712,Joint simulation using income-group ETS forecast variances and empirical residual correlation
2045,DALY,10053410.960787857,8339362.806115754,11768726.318167558,Joint simulation using income-group ETS forecast variances and empirical residual correlation
2050,DALY,10668863.68384839,8548791.578088237,12817413.288813502,Joint simulation using income-group ETS forecast variances and empirical residual correlation
