series,outcome,model,Year,point,lower_95_PI,upper_95_PI
Low income,DALY,ETS,2050,344355.86037203786,179631.54720688687,509080.17353718885
Low income,DALY,ARIMA,2050,406829.79010061466,227779.02219885707,585880.5580023723
Low income,VLW_billion,ETS,2050,4.657960160992646,3.1195776793554346,6.196342642629857
Low income,VLW_billion,ARIMA,2050,5.656926099859649,3.054677776296799,8.259174423422499
Lower middle income,DALY,ETS,2050,3058616.361497807,1824938.6054894924,4292294.117506121
Lower middle income,DALY,ARIMA,2050,3495999.805022544,2286472.8221957176,4705526.78784937
Lower middle income,VLW_billion,ETS,2050,188.0539857040922,115.7521590979736,260.3558123102108
Lower middle income,VLW_billion,ARIMA,2050,218.86816557761938,145.50493826650802,292.23139288873074
Upper middle income,DALY,ETS,2050,7265891.461978529,4861035.260835089,9670747.663121969
Upper middle income,DALY,ARIMA,2050,6976051.60944215,6388263.081001045,7563840.137883255
Upper middle income,VLW_billion,ETS,2050,1001.8360347687807,678.7478680073824,1324.9242015301788
Upper middle income,VLW_billion,ARIMA,2050,960.5717362997043,873.5476363467825,1047.595836252626
Male,VLW_billion,ETS,2050,703.4192348017464,455.7307957552856,951.1076738482071
Male,VLW_billion,ARIMA,2050,676.5479562410777,603.8925438579722,749.2033686241832
Female,VLW_billion,ETS,2050,529.3504333392272,287.18386254362207,771.5170041348322
Female,VLW_billion,ARIMA,2050,546.3081902695898,407.0696547093709,685.5467258298086
