LMIC_group,year,R
Low income,1990,39.03489240158063
Low income,1991,39.37577320034162
Low income,1992,39.311650801640376
Low income,1993,39.18477618483598
Low income,1994,39.31931266808145
Low income,1995,38.28101219093386
Low income,1996,38.20525331975
Low income,1997,37.51621157910944
Low income,1998,37.35956840015944
Low income,1999,37.22376321773578
Low income,2000,37.37534483317769
Low income,2001,37.123495172853694
Low income,2002,37.40807531748456
Low income,2003,37.23301400219081
Low income,2004,37.63402022135268
Low income,2005,38.0760843665025
Low income,2006,38.80831668788186
Low income,2007,39.244444285703665
Low income,2008,39.95700622820814
Low income,2009,40.7055746410751
Low income,2010,41.35809970919521
Low income,2011,41.76788717619076
Low income,2012,42.32806234198561
Low income,2013,43.2386516175666
Low income,2014,43.7489309890657
Low income,2015,44.466687992544706
Low income,2016,45.35278258699533
Low income,2017,46.595293799711996
Low income,2018,47.48089235629654
Low income,2019,48.83952925995106
Low income,2020,49.618099525947684
Low income,2021,52.870687549991686
Low income,2022,55.908869530882995
Low income,2023,58.05255015573535
Lower middle income,1990,50.66510169159322
Lower middle income,1991,51.20842985307597
Lower middle income,1992,51.75209979508807
Lower middle income,1993,52.14430632297059
Lower middle income,1994,52.22679269928946
Lower middle income,1995,52.24131038032589
Lower middle income,1996,52.561235868247365
Lower middle income,1997,52.853320507683165
Lower middle income,1998,53.40115870230572
Lower middle income,1999,53.6207727089063
Lower middle income,2000,54.32389978997128
Lower middle income,2001,55.36409756945689
Lower middle income,2002,56.01523022322783
Lower middle income,2003,56.24640562177263
Lower middle income,2004,57.34963287089768
Lower middle income,2005,57.86298259281763
Lower middle income,2006,58.09602052483757
Lower middle income,2007,58.203334058215184
Lower middle income,2008,59.14578981096009
Lower middle income,2009,60.07014846142235
Lower middle income,2010,60.869858404235984
Lower middle income,2011,62.37282459082028
Lower middle income,2012,63.59125731795345
Lower middle income,2013,64.50884447093176
Lower middle income,2014,65.55808149944369
Lower middle income,2015,66.56880892189845
Lower middle income,2016,67.31099426643567
Lower middle income,2017,68.2068034409549
Lower middle income,2018,69.2537392740651
Lower middle income,2019,71.3586262167701
Lower middle income,2020,73.87122742073383
Lower middle income,2021,74.70682837997994
Lower middle income,2022,76.39337644240807
Lower middle income,2023,78.59896172433403
Upper middle income,1990,106.53694418199626
Upper middle income,1991,108.30095736392725
Upper middle income,1992,109.20533256890282
Upper middle income,1993,110.36521652932606
Upper middle income,1994,111.27618322710055
Upper middle income,1995,112.54809969988737
Upper middle income,1996,113.5190679773152
Upper middle income,1997,112.56508552699071
Upper middle income,1998,112.87119708058708
Upper middle income,1999,114.54421363817696
Upper middle income,2000,117.15934960820069
Upper middle income,2001,119.33729156065846
Upper middle income,2002,122.25705811498861
Upper middle income,2003,123.72871843000347
Upper middle income,2004,125.7164561210734
Upper middle income,2005,127.78162990977408
Upper middle income,2006,128.93174700627517
Upper middle income,2007,130.32844715580842
Upper middle income,2008,131.86097851576199
Upper middle income,2009,131.98664260641905
Upper middle income,2010,133.252727044286
Upper middle income,2011,134.25236363237116
Upper middle income,2012,135.0339016373928
Upper middle income,2013,134.77773164362438
Upper middle income,2014,134.5975715297534
Upper middle income,2015,134.74473002458333
Upper middle income,2016,135.86841996887173
Upper middle income,2017,137.5679780998253
Upper middle income,2018,138.06443533890544
Upper middle income,2019,139.11454279290078
Upper middle income,2020,139.29190402840058
Upper middle income,2021,143.03708391932838
Upper middle income,2022,142.93985783911774
Upper middle income,2023,143.8280242914171
