model,origin,h,target_year,DALY_actual,DALY_point,DALY_scenario_low,DALY_scenario_high,DALY_covered,DALY_ape,VLW_actual,VLW_point,VLW_scenario_low,VLW_scenario_high,VLW_covered,VLW_ape,rel_width_DALY,n_group_draws_nonpositive
ETS,2009,1,2010,4152048.421265119,4123757.378875102,4072244.5597436074,4174595.972206926,1,0.6813755409287132,517.5931846585214,515.4417446559838,508.52350717814994,522.2944339767165,1,0.41566235149656805,2.4819940423177482,0
ETS,2009,2,2011,4235920.825938205,4197151.524598764,4085261.813176474,4309572.325378824,1,0.9152508494030703,526.2887915493195,523.4777971812787,508.4510958231327,538.5623476924444,1,0.5341163279889867,5.344351064947396,0
ETS,2009,3,2012,4333189.879435751,4267188.757264456,4083704.153695698,4450618.149379586,1,1.523153242938185,536.698435668542,531.0869752394054,506.54631980466746,555.6183285933336,1,1.0455518511334136,8.598494619185855,0
ETS,2009,4,2013,4393727.959245902,4334050.466371659,4071050.834717082,4595747.9420067575,1,1.3582427821608887,542.0450192527753,538.2939458597313,503.11496123848013,573.2723138050505,1,0.6920224814933323,12.10639126980302,0
ETS,2009,5,2014,4530578.906771354,4397907.48754125,4050764.2059342978,4744531.293829249,1,2.928354675200892,558.1176685195273,545.1219042736966,498.7721678871375,591.4272528996075,1,2.3284989848652407,15.774935918054467,0
ETS,2009,6,2015,4725079.203087951,4458920.733791251,4020468.2007442215,4901122.846277003,1,5.632889055547671,581.0488858465535,551.5926627261766,492.9916339516196,610.8654466911076,1,5.069491369467291,19.75039921339877,0
ETS,2010,1,2011,4235920.825938205,4252289.048961072,4200199.807411705,4303529.948892622,1,0.3864147536147971,526.2887915493195,528.6910475587105,521.831986387206,535.4717237716106,1,0.4564520559746394,2.429988655314082,0
ETS,2010,2,2012,4333189.879435751,4348877.760083287,4238622.590754364,4459537.564550915,1,0.3620400001852486,536.698435668542,539.3375324088662,524.7050716573026,554.0257815288007,1,0.49172804780711543,5.079815667026711,0
ETS,2010,3,2013,4393727.959245902,4441981.259818325,4262041.241973254,4621420.20494176,1,1.0982314112297706,542.0450192527753,549.552087378265,525.7934650062844,573.2264261707701,1,1.384952883773087,8.090510561568744,0
ETS,2010,4,2014,4530578.906771354,4531739.690264783,4275099.965886351,4787925.507400279,1,0.0256210854576133,558.1176685195273,559.3532812439985,525.186104962135,593.1023339036492,1,0.22138928655470572,11.31630624361755,0
ETS,2010,5,2015,4725079.203087951,4618287.196797524,4277676.846198347,4958322.888329253,1,2.2601103960466165,581.0488858465535,568.7588611409958,523.9654996605852,613.6098805641046,1,2.115144698651623,14.738062253964806,0
ETS,2010,6,2016,4994006.586104154,4701752.19282312,4271097.779891525,5136636.153044262,1,5.852102680325501,613.7476956742455,577.7857894114198,521.1339257543298,635.3993732684471,1,5.859395728291729,18.408847120312238,0
ETS,2011,1,2012,4333189.879435751,4317566.4866987,4266240.837264539,4368224.751771055,1,0.36055176836804004,536.698435668542,535.2822837680441,528.5617350390845,541.9399495511998,1,0.26386361621006793,2.36206934671886,0
ETS,2011,2,2013,4393727.959245902,4396112.044309281,4288891.0516153,4503684.239087094,1,0.054261098672764435,542.0450192527753,543.8874299645955,529.7806307381962,558.0719105150336,1,0.33989994306377425,4.885980732675852,0
ETS,2011,3,2014,4530578.906771354,4471677.220138317,4297915.956546783,4645513.813683994,1,1.3000918391467275,558.1176685195273,552.1220526276792,529.3569423093654,574.8551548593653,1,1.0742566003603211,7.773321731984467,0
ETS,2011,4,2015,4725079.203087951,4544389.885364394,4297544.988069785,4790958.907213027,1,3.824048443578948,581.0488858465535,560.0031723963511,527.4930944792675,592.2077463938078,1,3.6220211350272202,10.857649356458712,0
ETS,2011,5,2016,4994006.586104154,4614372.0475102,4286980.98308225,4941461.685250338,0,7.601802922132468,613.7476956742455,567.5470040391449,524.9984220762091,610.0081595426882,0,7.527635860912824,14.183526933447638,0
ETS,2011,6,2017,5230668.763601395,4681740.127849364,4269882.702279824,5097962.967956923,0,10.494425484784202,640.9996073208337,574.7689951155149,520.9650625528682,629.2326904787576,0,10.332395129248328,17.68744618590122,0
ETS,2012,1,2013,4393727.959245902,4425414.473156345,4374961.012967898,4475169.33060041,1,0.7211760537828541,542.0450192527753,546.9410081101786,540.348827336676,553.4637111561375,1,0.9032439527167927,2.264382652525662,0
ETS,2012,2,2014,4530578.906771354,4514724.667485816,4411330.435687698,4618659.499448713,1,0.34993848715099957,558.1176685195273,556.821093070832,543.3008279491766,570.4409832625919,1,0.23231220257452626,4.5922858874242936,0
ETS,2012,3,2015,4725079.203087951,4601164.733166362,4434861.876728841,4767884.330965795,1,2.6224845043995844,581.0488858465535,566.3511533615767,544.6515698334463,588.0413857669197,1,2.529517368157939,7.237785942251605,0
ETS,2012,4,2016,4994006.586104154,4684834.174285109,4448956.839577134,4920478.245971681,0,6.190869124588625,613.7476956742455,575.5441098655751,544.6837626895529,606.1357854336209,0,6.22464020279555,10.064847310556079,0
ETS,2012,5,2017,5230668.763601395,4765828.8695476055,4453115.670212666,5077603.889502734,0,8.88681572208255,640.9996073208337,584.4123950892011,543.9835811695292,624.781774424172,0,8.827963634509599,13.103454538210215,0
ETS,2012,6,2018,5340356.51562367,4844241.208303569,4450908.856136071,5240958.735085903,0,9.28992860062195,651.1298257189403,592.9679718616286,541.8303390576209,644.6637710368293,0,8.932451188684642,16.309053265052093,0
ETS,2013,1,2014,4530578.906771354,4457909.78523341,4406684.978362925,4508652.270183916,0,1.6039698906763065,558.1176685195273,548.44232968196,541.7283108548202,555.1313365719591,0,1.7335661247264034,2.28733412593391,0
ETS,2013,2,2015,4725079.203087951,4520009.034122635,4417309.149850815,4623785.548509473,0,4.340036645974064,581.0488858465535,554.5765932692447,541.0308217883269,568.1769830227106,0,4.555949287939912,4.568052787061229,0
ETS,2013,3,2016,4994006.586104154,4579938.182262432,4416273.383541285,4743885.679373006,0,8.291306723420611,613.7476956742455,560.4577439627682,539.0469402337943,581.8379662820039,0,8.682713122520896,7.153203444983724,0
ETS,2013,4,2017,5230668.763601395,4637786.175409256,4406430.023184311,4868983.37472364,0,11.334737774217823,640.9996073208337,566.0972444723627,535.9100762108925,595.9531350065972,0,11.685243172228772,9.973580800078869,0
ETS,2013,5,2018,5340356.51562367,4693637.945441509,4389076.808978832,4998013.654621836,0,12.110026143200942,651.1298257189403,571.5060141607232,532.1717136599589,610.9980868648222,0,12.228561557643443,12.97366462264962,0
ETS,2013,6,2019,5409337.703633718,4747574.60031474,4365736.9135691365,5131562.541458111,0,12.233717685520713,654.6443394892658,576.6944553241012,527.4176081187126,626.7270567220569,0,11.90721120814682,16.130881394432524,0
ETS,2014,1,2015,4725079.203087951,4634661.225008977,4578434.722812184,4690401.864578034,0,1.9135759252434146,581.0488858465535,569.1484110621758,561.8102821989576,576.4114093862373,0,2.0481021604644205,2.4158646410155424,0
