LMIC_group,year,Vbar
Low income,1990,13513.848322415517
Low income,1991,13554.398144228146
Low income,1992,13582.357570435683
Low income,1993,13616.678429861253
Low income,1994,13701.694383206475
Low income,1995,13623.532008161912
Low income,1996,13611.960040355958
Low income,1997,13664.368444812191
Low income,1998,13710.038424786448
Low income,1999,13704.235170595019
Low income,2000,13712.981562395255
Low income,2001,13713.767645315802
Low income,2002,13721.181040206799
Low income,2003,13733.801252478468
Low income,2004,13751.21704105519
Low income,2005,13769.6186849972
Low income,2006,13794.094419343233
Low income,2007,13800.768519906207
Low income,2008,13794.082357274585
Low income,2009,13801.798202305903
Low income,2010,13784.562981473891
Low income,2011,13772.594435680883
Low income,2012,13757.083575891216
Low income,2013,13757.699220586244
Low income,2014,13743.836001467706
Low income,2015,13745.97172696201
Low income,2016,13730.260460485812
Low income,2017,13721.687869561109
Low income,2018,13697.960672238865
Low income,2019,13678.330313583645
Low income,2020,13635.47448998546
Low income,2021,13655.262467316326
Low income,2022,13624.404356033774
Low income,2023,13652.937970224424
Lower middle income,1990,57351.027331420206
Lower middle income,1991,57373.518673842824
Lower middle income,1992,57438.616855453074
Lower middle income,1993,57591.11663246664
Lower middle income,1994,57747.35520991965
Lower middle income,1995,57851.804783687294
Lower middle income,1996,58002.7297102292
Lower middle income,1997,58105.585891760726
Lower middle income,1998,58231.912040777825
Lower middle income,1999,58307.1179122371
Lower middle income,2000,58378.11084987772
Lower middle income,2001,58613.38925737422
Lower middle income,2002,58908.89561181614
Lower middle income,2003,59349.22402657743
Lower middle income,2004,59644.255448338554
Lower middle income,2005,59776.66111147265
Lower middle income,2006,60020.001111616424
Lower middle income,2007,60109.8752671123
Lower middle income,2008,60112.98675728963
Lower middle income,2009,60293.32936189048
Lower middle income,2010,60316.97058733417
Lower middle income,2011,60451.98546618667
Lower middle income,2012,60548.818271164295
Lower middle income,2013,60360.05871872713
Lower middle income,2014,60458.30857998259
Lower middle income,2015,60553.787630732375
Lower middle income,2016,60450.93663747823
Lower middle income,2017,60298.746110026295
Lower middle income,2018,60205.985873640995
Lower middle income,2019,60032.4959179018
Lower middle income,2020,59914.796338111286
Lower middle income,2021,59491.330532179774
Lower middle income,2022,60357.45201653791
Lower middle income,2023,60365.162557161704
Upper middle income,1990,142924.1507636413
Upper middle income,1991,142927.146315996
Upper middle income,1992,142959.65224524215
Upper middle income,1993,142954.31770130756
Upper middle income,1994,142991.5026455239
Upper middle income,1995,143049.27170923838
Upper middle income,1996,143031.829522712
Upper middle income,1997,143156.02300427007
Upper middle income,1998,143172.0402639818
Upper middle income,1999,143068.02940362677
Upper middle income,2000,143064.5310542104
Upper middle income,2001,143112.9634289432
Upper middle income,2002,143240.98667227838
Upper middle income,2003,143103.80713766883
Upper middle income,2004,142811.97199686427
Upper middle income,2005,142882.60391867737
Upper middle income,2006,142828.06322939415
Upper middle income,2007,142530.05703063443
Upper middle income,2008,141992.43615247594
Upper middle income,2009,141319.5816529456
Upper middle income,2010,140977.87137272
Upper middle income,2011,140782.99845531335
Upper middle income,2012,140622.22456940234
Upper middle income,2013,140537.4029290959
Upper middle income,2014,140658.34072985564
Upper middle income,2015,140732.5634284609
Upper middle income,2016,140773.12446901764
Upper middle income,2017,140644.03665443003
Upper middle income,2018,140468.8379309412
Upper middle income,2019,140284.35452469517
Upper middle income,2020,140184.61245830523
Upper middle income,2021,140247.71160767163
Upper middle income,2022,140669.95307462127
Upper middle income,2023,140261.04222459535
