Series,Outcome,Model,Role,Ljung_Box_p,Residual_autocorrelation_detected,Eligible_under_rule,MAPE,MASE,coverage_95,Rank_by_MAPE,Selected
Low income,DALY,ARIMA,Candidate,0.9130518874851072,No,Yes,4.2360848516692045,2.5656902938501833,69.56521739130434,1,Yes
Low income,DALY,ETS,Candidate,0.5592691983726177,No,Yes,4.932336441461872,2.982226585939642,60.86956521739131,2,No
Low income,DALY,Drift,Candidate,6.294964549624638e-14,Yes,No,11.866817360577638,7.016938868474196,4.3478260869565215,3,No
Low income,DALY,Naive,Candidate,2.531308496145357e-13,Yes,No,17.283323311211596,10.181566961145952,4.3478260869565215,4,No
Lower middle income,DALY,ARIMA,Candidate,0.5923091166627176,No,Yes,4.189659760031997,2.0479865675185787,66.66666666666666,1,Yes
Lower middle income,DALY,ETS,Candidate,0.4393304937376168,No,Yes,4.494409787145069,2.213826009531883,60.86956521739131,2,No
Lower middle income,DALY,Drift,Candidate,1.155699071997418e-7,Yes,No,8.633029768854529,4.261724816585298,15.942028985507244,3,No
Lower middle income,DALY,Naive,Candidate,3.5481236149159656e-7,Yes,No,15.422691524869824,7.5081016281795,14.492753623188406,4,No
Upper middle income,DALY,Drift,Candidate,0.01626805210156146,Yes,No,3.8764297948175983,2.305066947645936,43.47826086956522,1,No
Upper middle income,DALY,ARIMA,Candidate,0.2882447320013748,No,Yes,4.10718713917293,2.433929380334716,40.57971014492754,2,Yes
Upper middle income,DALY,ETS,Candidate,0.0011387457325466865,Yes,No,4.967917704575404,2.9223567684420764,52.17391304347826,3,No
Upper middle income,DALY,Naive,Candidate,0.030792290950843015,Yes,No,8.842480813590777,5.182835218379067,37.68115942028986,4,No
