model,h,n_origins,n_obs,MAE,RMSE,MAPE,MASE,coverage_95
ARIMA,1,14,112,11057.482608969924,35676.69525045434,1.4265934434826257,0.7157749393679328,58.92857142857143
ARIMA,2,13,104,25902.72335523733,82458.31269017166,3.1953110755994496,1.7092941782482738,58.65384615384615
ARIMA,3,12,96,30427.06007717962,90638.91467302013,4.272874076324392,2.377562891741949,55.208333333333336
ARIMA,4,11,88,35265.1921804701,98546.62899331981,5.109181969963078,2.899235136562913,53.40909090909091
ARIMA,5,10,80,36821.643294673835,95201.34057337308,5.6843428412369486,3.3058247934335045,53.75
ARIMA,6,9,72,44309.55652080081,102684.16744810076,6.958161178027106,4.189278170609844,47.22222222222222
Drift,1,14,112,14059.349273099833,41773.224775871415,2.5402903758054727,1.2501632402422818,45.535714285714285
Drift,2,13,104,25495.34841232572,70925.18409360429,4.792468020804638,2.4749284697222897,37.5
Drift,3,12,96,35220.59421610403,90267.39176693374,6.840658786264349,3.6783241816509786,26.041666666666668
Drift,4,11,88,41169.029481197234,95982.61124353549,8.500020855478809,4.7135230036759035,20.454545454545457
Drift,5,10,80,49301.38778731812,105440.17935960952,10.32800666832942,5.945665200949508,10
Drift,6,9,72,60475.228862920696,127213.83966295475,12.354921400528776,7.440812160972258,5.555555555555555
ETS,1,14,112,14078.640726382579,48686.41070804438,1.684144018448402,0.85890470810026,64.28571428571429
ETS,2,13,104,24059.881537597164,81592.25239801097,3.131092310852528,1.68234089848534,58.65384615384615
ETS,3,12,96,38200.448088516954,118346.41561242445,5.037481508174481,2.8048301719526547,51.041666666666664
ETS,4,11,88,44659.06459955766,130310.65034183809,6.276877957491212,3.567657434558419,48.86363636363637
ETS,5,10,80,44387.38923995043,113618.17564313262,7.0374086083081995,4.076631702478419,56.25
ETS,6,9,72,49690.03680805238,114910.23120796944,8.34386084934913,4.982793626877909,50
Naive,1,14,112,21891.271042252356,58569.523752597095,4.191117219165595,2.027851587581873,53.57142857142857
Naive,2,13,104,44761.9147956182,110495.12239930104,8.228012888160377,4.188013594088988,30.76923076923077
Naive,3,12,96,67179.96568722087,155090.5935763659,12.096409633540686,6.425694078840736,20.833333333333336
Naive,4,11,88,87041.44201644942,189987.3475713134,15.56319452621638,8.54822000485913,12.5
Naive,5,10,80,108443.523005948,229762.18567676147,19.03612745785285,10.854081866173715,3.75
Naive,6,9,72,131742.29824503546,277417.9488729752,22.49719793729116,13.39145623525314,0
