series,outcome,model,n_origins,n_obs,MAE,RMSE,MAPE,MASE,coverage_95
Female,VLW,ARIMA,14,69,10.950229292065504,14.332350211044751,4.154823410529678,2.5137788434853547,43.47826086956522
Female,VLW,Drift,14,69,10.639877592956527,13.82273577584054,4.0198334263947615,2.451082947251843,39.130434782608695
Female,VLW,ETS,14,69,12.110799461147685,16.244495809187764,4.6507108355962865,2.802746681845645,52.17391304347826
Female,VLW,Naive,14,69,23.57778271868277,27.882187958004987,9.148642361169934,5.487901438929018,36.231884057971016
Low income,DALY,ARIMA,14,69,4728.712531892266,6811.7209582292435,4.2360848516692045,2.5656902938501833,69.56521739130434
Low income,DALY,Drift,14,69,12725.348169019342,15589.33626332987,11.866817360577638,7.016938868474196,4.3478260869565215
Low income,DALY,ETS,14,69,5468.902781195698,7655.11337596306,4.932336441461872,2.982226585939642,60.86956521739131
Low income,DALY,Naive,14,69,18230.930824206942,21652.80989319392,17.283323311211596,10.181566961145952,4.3478260869565215
Low income,VLW,ARIMA,14,69,0.06371295436689461,0.09259625993065765,4.171995799440772,2.453334518655518,78.26086956521739
Low income,VLW,Drift,14,69,0.16935324387082673,0.20791630190009608,11.525367444946653,6.6152296290852055,5.797101449275362
Low income,VLW,ETS,14,69,0.08682789541846367,0.12573121467810652,5.676888282132383,3.332960364110004,50.72463768115942
Low income,VLW,Naive,14,69,0.24620534533104504,0.29229320981836704,17.057406407071863,9.745117096071326,4.3478260869565215
Lower middle income,DALY,ARIMA,14,69,49426.436091140866,69709.48851421612,4.189659760031997,2.0479865675185787,66.66666666666666
Lower middle income,DALY,Drift,14,69,101394.25550798287,126152.6532593337,8.633029768854529,4.261724816585298,15.942028985507244
Lower middle income,DALY,ETS,14,69,52520.29387166261,70120.0526710099,4.494409787145069,2.213826009531883,60.86956521739131
Lower middle income,DALY,Naive,14,69,176155.4968705308,207151.81203181634,15.422691524869824,7.5081016281795,14.492753623188406
Lower middle income,VLW,ARIMA,14,69,2.8344208539984477,3.965535114876063,3.976881658530389,1.8935114146052874,69.56521739130434
Lower middle income,VLW,Drift,14,69,5.87294752850426,7.293709670095278,8.293889902150994,3.9648603945589755,17.391304347826086
Lower middle income,VLW,ETS,14,69,3.2055909971972105,4.297115589551401,4.529396474826786,2.174677123529417,59.42028985507246
Lower middle income,VLW,Naive,14,69,10.523320752020265,12.332542390374865,15.315800326926071,7.211237206153179,14.492753623188406
Male,VLW,ARIMA,14,69,18.53810530430418,23.910613415002178,4.448241757782196,2.537724424626481,33.33333333333333
Male,VLW,Drift,14,69,18.519454252064794,24.01922479764807,4.3924781746462305,2.5380510685585844,40.57971014492754
Male,VLW,ETS,14,69,21.482159514584872,27.796544618530117,5.180782146476312,2.94313009126682,52.17391304347826
Male,VLW,Naive,14,69,39.56466523072831,47.23651091306396,9.622758965118267,5.473317360036434,34.78260869565217
Upper middle income,DALY,ARIMA,14,69,179014.307000543,229640.89121516777,4.10718713917293,2.433929380334716,40.57971014492754
Upper middle income,DALY,Drift,14,69,168843.3375736893,217071.5880243705,3.8764297948175983,2.305066947645936,43.47826086956522
Upper middle income,DALY,ETS,14,69,214479.56595529715,280704.51611240976,4.967917704575404,2.9223567684420764,52.17391304347826
Upper middle income,DALY,Naive,14,69,376167.270759218,449001.88720115676,8.842480813590777,5.182835218379067,37.68115942028986
Upper middle income,VLW,ARIMA,14,69,25.338973403067744,32.26035634419024,4.159035395787717,2.501959471856946,39.130434782608695
Upper middle income,VLW,Drift,14,69,24.212097504675985,30.951812177945587,3.9635910743048326,2.393591431987648,43.47826086956522
Upper middle income,VLW,ETS,14,69,29.858273388699633,39.43327508010787,4.9004842010707295,2.9363373728965896,55.072463768115945
Upper middle income,VLW,Naive,14,69,52.279615703277145,62.66502197406115,8.736220350264343,5.21418659578468,36.231884057971016
