series,outcome,model,origin,h,actual,pred,lo,hi,err,abs_err,ape,covered,mase_scale,scaled_err
Low income,DALY,ETS,2009,1,63671.90771417905,63799.087336565004,62555.40757038551,65042.767102744496,-127.17962238595646,127.17962238595646,0.19974212639718808,1,1282.1312403319494,0.09919391898837837
Low income,DALY,ETS,2009,2,66493.24243770937,66611.34805742711,64237.52839530408,68985.16771955014,-118.10561971773859,118.10561971773859,0.17762048501151004,1,1282.1312403319494,0.09211663829918108
Low income,DALY,ETS,2009,3,69514.45255068582,69367.36349167924,65539.69337526672,73195.03360809175,147.08905900658283,147.08905900658283,0.21159493257799045,1,1282.1312403319494,0.11472231108611068
Low income,DALY,ETS,2009,4,73519.05307680668,72068.25854649745,66558.03093808123,77578.48615491368,1450.7945303092274,1450.7945303092274,1.973358564335093,1,1282.1312403319494,1.1315491617953326
Low income,DALY,ETS,2009,5,77614.70469012935,74715.13563088542,67337.59126532078,82092.67999645005,2899.569059243935,2899.569059243935,3.735850146979542,1,1282.1312403319494,2.2615228207786466
Low income,DALY,ETS,2009,6,81876.13440425383,77309.0751056384,67906.83819713049,86711.31201414632,4567.059298615422,4567.059298615422,5.578010407851086,1,1282.1312403319494,3.5620840947865764
Low income,DALY,ARIMA,2009,1,63671.90771417905,63909.435012391456,62968.865730276855,64850.004294506056,-237.5272982124079,237.5272982124079,0.3730488165654775,1,1282.1312403319494,0.18525973842655225
Low income,DALY,ARIMA,2009,2,66493.24243770937,66832.75319994071,64729.57634758429,68935.93005229712,-339.51076223133714,339.51076223133714,0.5105943849096991,1,1282.1312403319494,0.2648018795200999
Low income,DALY,ARIMA,2009,3,69514.45255068582,69756.07138748997,66236.78338529322,73275.35938968671,-241.61883680414758,241.61883680414758,0.34758072305607735,1,1282.1312403319494,0.18845093950100725
Low income,DALY,ARIMA,2009,4,73519.05307680668,72679.38957503923,67527.67944793317,77831.09970214528,839.6635017674562,839.6635017674562,1.142103259804291,1,1282.1312403319494,0.6548966871363837
Low income,DALY,ARIMA,2009,5,77614.70469012935,75602.70776258848,68627.25927556156,82578.15624961541,2011.9969275408657,2011.9969275408657,2.592288324195275,1,1282.1312403319494,1.569259732739958
Low income,DALY,ARIMA,2009,6,81876.13440425383,78526.02595013774,69553.56685156067,87498.48504871482,3350.1084541160817,3350.1084541160817,4.0916788249617575,1,1282.1312403319494,2.6129216329279394
Low income,DALY,Naive,2009,1,63671.90771417905,60986.11682484221,58034.58833176095,63937.645317923474,2685.7908893368367,2685.7908893368367,4.218172481015109,1,1282.1312403319494,2.094786247187514
Low income,DALY,Naive,2009,2,66493.24243770937,60986.11682484221,56812.02520019606,65160.20844948836,5507.125612867159,5507.125612867159,8.282233518731193,0,1282.1312403319494,4.295290091708038
Low income,DALY,Naive,2009,3,69514.45255068582,60986.11682484221,55873.91951483826,66098.31413484616,8528.335725843608,8528.335725843608,12.268435430208202,0,1282.1312403319494,6.651687017341208
Low income,DALY,Naive,2009,4,73519.05307680668,60986.11682484221,55083.05983867968,66889.17381100474,12532.936251964471,12532.936251964471,17.047194880041623,0,1282.1312403319494,9.775080629592678
Low income,DALY,Naive,2009,5,77614.70469012935,60986.11682484221,54386.298476784985,67585.93517289944,16628.58786528714,16628.58786528714,21.424532801710036,0,1282.1312403319494,12.969489660810329
Low income,DALY,Naive,2009,6,81876.13440425383,60986.11682484221,53756.37805550736,68215.85559417706,20890.017579411615,20890.017579411615,25.514171780838602,0,1282.1312403319494,16.293197546612387
Low income,DALY,Drift,2009,1,63671.90771417905,62217.49405388739,60426.54293773435,64008.44517004043,1454.413660291655,1454.413660291655,2.2842313235225604,1,1282.1312403319494,1.1343719071341722
Low income,DALY,Drift,2009,2,66493.24243770937,63448.87128293257,60853.536547114345,66044.20601875079,3044.3711547768035,3044.3711547768035,4.578466988775227,0,1282.1312403319494,2.3744614116013603
Low income,DALY,Drift,2009,3,69514.45255068582,64680.24851197775,61426.824243382514,67933.67278057298,4834.204038708071,4834.204038708071,6.95424312689977,0,1282.1312403319494,3.770443997181189
Low income,DALY,Drift,2009,4,73519.05307680668,65911.62574102293,62070.46352860997,69752.7879534359,7607.427335783752,7607.427335783752,10.347558921679983,0,1282.1312403319494,5.933423269379316
Low income,DALY,Drift,2009,5,77614.70469012935,67143.0029700681,62756.08658122514,71529.91935891107,10471.701720061246,10471.701720061246,13.491904352234151,0,1282.1312403319494,8.16741796054363
