Rank,Country,Income Group,GDP pc (PPP),DALYs (thousands; point estimate),VLW (billion constant-2023 USD; point estimate),VLW/GDP (%; point estimate)
1,Republic of Moldova,Upper middle income,"17,747",11.9,2.615,5.9949
2,Serbia,Upper middle income,"28,749",38.2,10.692,5.6154
3,Ukraine,Upper middle income,"17,665",131.9,28.922,4.6433
4,Bosnia and Herzegovina,Upper middle income,"22,512",12.8,3.159,4.405
5,North Macedonia,Upper middle income,"24,532",6.3,1.634,3.6432
6,Montenegro,Upper middle income,"31,064",2.4,0.684,3.529
7,Belarus,Upper middle income,"30,834",32,9.282,3.2796
8,Armenia,Upper middle income,"21,534",8.6,2.083,3.2634
9,Tuvalu,Upper middle income,"6,151",0,0.002,3.116
10,Lebanon,Lower middle income,"12,575",11.6,2.143,2.9521
11,Cabo Verde,Upper middle income,"10,242",0.9,0.152,2.8467
12,Argentina,Upper middle income,"30,221",136.3,39.098,2.8409
13,Grenada,Upper middle income,"18,971",0.3,0.06,2.7082
14,Georgia,Upper middle income,"25,072",9.6,2.512,2.6961
15,Dominica,Upper middle income,"20,286",0.2,0.036,2.682
16,Solomon Islands,Lower middle income,"2,597",0.6,0.05,2.4104
17,Marshall Islands,Upper middle income,"7,549",0,0.007,2.3835
18,Albania,Upper middle income,"24,129",5.3,1.354,2.3243
19,Tunisia,Lower middle income,"14,041",20.4,3.98,2.3235
20,Haiti,Lower middle income,"3,292",9.3,0.878,2.2914
21,El Salvador,Upper middle income,"12,680",9.7,1.809,2.2612
22,Tonga,Upper middle income,"7,803",0.1,0.018,2.2554
23,Mongolia,Upper middle income,"18,005",6.4,1.408,2.2462
24,Saint Vincent and the Grenadines,Upper middle income,"19,820",0.2,0.045,2.2316
25,Bolivia (Plurinational State of),Lower middle income,"12,892",18,3.375,2.1383
26,Brazil,Upper middle income,"21,176",395.5,94.936,2.1233
27,Myanmar,Lower middle income,"5,953",53.4,6.792,2.1076
28,Thailand,Upper middle income,"23,519",139.5,35.284,2.0923
29,China,Upper middle income,"25,179",2765.6,723.865,2.0379
30,Saint Lucia,Upper middle income,"25,975",0.4,0.094,2.026
31,Jamaica,Upper middle income,"12,651",3.8,0.7,1.9484
32,Jordan,Lower middle income,"10,412",13.5,2.28,1.9141
33,Peru,Upper middle income,"17,011",51,10.969,1.9052
34,Libya,Upper middle income,"13,847",9.9,1.912,1.8903
35,Türkiye,Upper middle income,"43,196",203,69.579,1.8878
36,Mauritius,Upper middle income,"29,561",2.4,0.683,1.8498000000000001
37,Kyrgyzstan,Lower middle income,"7,298",6.8,0.954,1.8415
38,Micronesia (Federated States of),Lower middle income,"4,234",0.1,0.009,1.8024
39,Suriname,Upper middle income,"21,110",1,0.238,1.7914
40,Iraq,Upper middle income,"14,653",57.9,11.568,1.7516
41,South Africa,Upper middle income,"15,200",78.2,15.899,1.6547
42,Paraguay,Upper middle income,"17,564",9,1.971,1.6394
43,Liberia,Low income,"1,795",2.3,0.16,1.6265
44,Palestine,Lower middle income,"5,950",3.9,0.499,1.6242
45,Rwanda,Low income,"3,399",7.6,0.728,1.5339
46,Belize,Upper middle income,"13,730",0.4,0.086,1.5193
47,Mali,Low income,"3,175",12,1.115,1.4778
48,Dominican Republic,Upper middle income,"25,840",16.1,4.274,1.4597
49,Azerbaijan,Upper middle income,"23,652",13.6,3.449,1.4362
50,Madagascar,Low income,"1,808",11.4,0.802,1.4215
51,Lesotho,Lower middle income,"2,881",1.1,0.094,1.4072
52,Nicaragua,Lower middle income,"8,320",5.3,0.792,1.3954
53,Colombia,Upper middle income,"20,944",63.6,15.18,1.3853
54,Sudan,Low income,"2,421",20.3,1.649,1.3612
55,Indonesia,Upper middle income,"15,416",283.7,58.105,1.3404
56,Egypt,Lower middle income,"18,525",125.1,28.081,1.3235
57,Viet Nam,Lower middle income,"15,034",97.5,19.715,1.3068
58,Sri Lanka,Lower middle income,"14,456",21,4.163,1.3067
59,Fiji,Upper middle income,"14,644",0.9,0.174,1.2838
60,Lao People's Democratic Republic,Lower middle income,"9,292",5.7,0.909,1.2758
61,Ecuador,Upper middle income,"15,919",17.3,3.598,1.257
62,Uganda,Low income,"3,098",20.3,1.864,1.2366
63,Samoa,Upper middle income,"8,195",0.1,0.022,1.2351
64,Mexico,Upper middle income,"24,917",149.8,39.009,1.2067
65,Burundi,Low income,"1,150",3.4,0.189,1.2004
66,Vanuatu,Lower middle income,"3,568",0.1,0.014,1.1966
67,Democratic Republic of the Congo,Low income,"1,731",31.9,2.188,1.1953
68,Kazakhstan,Upper middle income,"38,515",27.7,8.96,1.1442
69,Central African Republic,Low income,"1,257",1.3,0.073,1.1337
70,Philippines,Lower middle income,"10,986",80.8,13.961,1.1061
71,Timor-Leste,Lower middle income,"4,807",0.6,0.072,1.0812
72,Honduras,Lower middle income,"7,178",5.9,0.823,1.0766
73,Cameroon,Lower middle income,"5,411",13.6,1.646,1.0725
74,Iran (Islamic Republic of),Upper middle income,"18,917",79.3,17.989,1.0495
75,Papua New Guinea,Lower middle income,"4,668",4.4,0.492,1.0147
76,Cambodia,Lower middle income,"7,431",9.1,1.3,1.0042
77,Zimbabwe,Lower middle income,"5,791",7.4,0.927,0.9794
78,Ghana,Lower middle income,"7,556",17.3,2.487,0.9742
79,Djibouti,Lower middle income,"7,226",0.6,0.079,0.9542
80,Togo,Low income,"3,154",3,0.277,0.9429
81,Kenya,Lower middle income,"6,317",25,3.277,0.9374
82,Sierra Leone,Low income,"3,368",2.8,0.266,0.9325
83,Côte d'Ivoire,Lower middle income,"7,237",15,2.099,0.9304
84,Morocco,Lower middle income,"9,895",21.3,3.496,0.9226
85,Mauritania,Lower middle income,"6,966",2.3,0.322,0.9202
86,Malaysia,Upper middle income,"36,467",37.3,11.735,0.9161
87,Niger,Low income,"1,875",6.2,0.442,0.9015
88,Uzbekistan,Lower middle income,"11,107",20.2,3.519,0.8886
89,Bangladesh,Lower middle income,"9,148",86.5,13.641,0.8696
90,Pakistan,Lower middle income,"6,014",94.8,12.129,0.8149
91,Benin,Lower middle income,"4,130",4.4,0.463,0.7939
92,Guatemala,Upper middle income,"13,745",10,1.931,0.7751
93,Tajikistan,Lower middle income,"4,964",3.4,0.39,0.7566
94,Guinea-Bissau,Low income,"2,990",0.5,0.048,0.7455
95,Senegal,Lower middle income,"4,778",5.5,0.632,0.7315
96,Congo,Lower middle income,"6,850",2.3,0.308,0.7266
97,Eswatini,Lower middle income,"11,300",0.6,0.099,0.7104
98,Burkina Faso,Low income,"2,759",5,0.43,0.6762
99,Nepal,Lower middle income,"5,395",8.9,1.082,0.6752
100,India,Lower middle income,"10,323",591.8,99.179,0.6681
101,Equatorial Guinea,Upper middle income,"17,412",1,0.214,0.6661
102,Gabon,Upper middle income,"20,756",1.4,0.327,0.6333
103,Chad,Low income,"2,700",3.7,0.32,0.6136
104,Botswana,Upper middle income,"21,012",1.3,0.307,0.5882
105,Turkmenistan,Upper middle income,"19,829",3.6,0.839,0.5743
106,Algeria,Upper middle income,"16,824",20.7,4.432,0.5707
107,Bhutan,Lower middle income,"16,215",0.3,0.07,0.5473
108,Comoros,Lower middle income,"3,812",0.2,0.017,0.5223
109,Maldives,Upper middle income,"24,786",0.3,0.066,0.5095
110,Malawi,Low income,"1,830",2.7,0.193,0.4996
111,Somalia,Low income,"1,556",2.2,0.14,0.4919
112,Angola,Lower middle income,"9,754",10.7,1.75,0.4882
113,Kiribati,Lower middle income,"3,486",0,0.002,0.4454
114,Zambia,Lower middle income,"4,077",3.5,0.374,0.4421
115,Gambia,Low income,"3,289",0.4,0.037,0.4172
116,United Republic of Tanzania,Lower middle income,"4,019",10.1,1.057,0.4073
117,Afghanistan,Low income,"2,202",4.8,0.369,0.4039
118,Namibia,Lower middle income,"11,251",0.7,0.116,0.3491
119,Sao Tome and Principe,Lower middle income,"6,150",0,0.005,0.3431
120,Guinea,Lower middle income,"4,334",1.8,0.196,0.3143
121,Nigeria,Lower middle income,"8,705",25.2,3.885,0.1958
122,Mozambique,Low income,"1,678",1.2,0.078,0.139
