Country,Sex,Income Group,DALYs (point estimate),VLW (billion constant-2023 USD; point estimate),VLW undiscounted (billion constant-2023 USD),VLW/GDP (%; point estimate)
Zimbabwe,Male,Lower middle income,3806,0.478,0.239,0.5048
Zimbabwe,Female,Lower middle income,3578,0.449,0.217,0.4746
Guatemala,Male,Upper middle income,4348,0.841,0.39,0.3375
Guatemala,Female,Upper middle income,5637,1.09,0.485,0.4376
Maldives,Male,Upper middle income,140,0.036,0.015,0.2795
Maldives,Female,Upper middle income,115,0.03,0.012,0.23
Micronesia (Federated States of),Male,Lower middle income,59,0.006,0.003,1.3242
Micronesia (Federated States of),Female,Lower middle income,21,0.002,0.001,0.4782
Mexico,Male,Upper middle income,72648,18.915,8.467,0.5851
Mexico,Female,Upper middle income,77172,20.094,8.614,0.6216
Montenegro,Male,Upper middle income,1409,0.41,0.176,2.1155
Montenegro,Female,Upper middle income,942,0.274,0.113,1.4134
Mali,Male,Low income,7648,0.711,0.365,0.942
Mali,Female,Low income,4350,0.404,0.207,0.5358
Angola,Male,Lower middle income,5655,0.921,0.486,0.257
Angola,Female,Lower middle income,5088,0.829,0.407,0.2312
Benin,Male,Lower middle income,2401,0.255,0.127,0.4367
Benin,Female,Lower middle income,1963,0.208,0.099,0.3571
Djibouti,Male,Lower middle income,330,0.046,0.022,0.5559
Djibouti,Female,Lower middle income,237,0.033,0.015,0.3983
Congo,Male,Lower middle income,1048,0.143,0.073,0.3379
Congo,Female,Lower middle income,1206,0.165,0.085,0.3886
Egypt,Male,Lower middle income,77344,17.364,7.991,0.8184
Egypt,Female,Lower middle income,47738,10.717,4.99,0.5051
Kyrgyzstan,Male,Lower middle income,3475,0.49,0.214,0.945
Kyrgyzstan,Female,Lower middle income,3297,0.465,0.195,0.8965
Papua New Guinea,Male,Lower middle income,2484,0.28,0.135,0.5771
Papua New Guinea,Female,Lower middle income,1883,0.212,0.102,0.4376
Saint Vincent and the Grenadines,Male,Upper middle income,113,0.026,0.012,1.3075
Saint Vincent and the Grenadines,Female,Upper middle income,80,0.019,0.008,0.9241
Republic of Moldova,Male,Upper middle income,7596,1.669,0.74,3.8265
Republic of Moldova,Female,Upper middle income,4304,0.946,0.388,2.1684
Dominica,Male,Upper middle income,94,0.022,0.01,1.6382
Dominica,Female,Upper middle income,60,0.014,0.006,1.0439
Bolivia (Plurinational State of),Male,Lower middle income,10365,1.941,0.892,1.2298
Bolivia (Plurinational State of),Female,Lower middle income,7657,1.434,0.637,0.9085
Burundi,Male,Low income,1953,0.109,0.058,0.694
Burundi,Female,Low income,1425,0.08,0.041,0.5064
Malaysia,Male,Upper middle income,21411,6.744,2.849,0.5265
Malaysia,Female,Upper middle income,15843,4.99,2.057,0.3896
Tajikistan,Male,Lower middle income,1550,0.18,0.081,0.3494
Tajikistan,Female,Lower middle income,1807,0.21,0.093,0.4072
China,Male,Upper middle income,1781009,466.155,190.723,1.3124
China,Female,Upper middle income,984617,257.71,101.264,0.7255
Solomon Islands,Male,Lower middle income,408,0.034,0.017,1.6527
Solomon Islands,Female,Lower middle income,187,0.016,0.008,0.7577
Belize,Male,Upper middle income,193,0.037,0.017,0.6605
Belize,Female,Upper middle income,251,0.048,0.021,0.8588
