Income Group,Year,DALYs (thousands),VLW (billion USD)
Low income,1990,37.6 (23.5<e2><80><93>55.9),2.98 (1.87<e2><80><93>4.41)
Low income,2000,44.1 (28.5<e2><80><93>65.2),3.52 (2.29<e2><80><93>5.18)
Low income,2010,63.7 (41.9<e2><80><93>93.9),5.09 (3.37<e2><80><93>7.48)
Low income,2023,142.8 (91.0<e2><80><93>208.7),11.37 (7.26<e2><80><93>16.58)
Lower middle income,1990,331.0 (221.7<e2><80><93>460.1),53.93 (36.29<e2><80><93>74.68)
Lower middle income,2000,481.4 (335.5<e2><80><93>668.7),79.11 (55.30<e2><80><93>109.56)
Lower middle income,2010,735.0 (535.9<e2><80><93>992.4),122.63 (89.81<e2><80><93>164.90)
Lower middle income,2023,"1,452.5 (1,006.9<e2><80><93>2,010.4)",242.52 (168.75<e2><80><93>334.48)
Upper middle income,1990,"1,882.8 (1,532.4<e2><80><93>2,339.2)",481.91 (392.93<e2><80><93>598.00)
Upper middle income,2000,"2,505.7 (2,168.1<e2><80><93>2,963.1)",639.80 (554.89<e2><80><93>755.46)
Upper middle income,2010,"3,237.3 (2,884.1<e2><80><93>3,654.1)",822.18 (734.74<e2><80><93>925.16)
Upper middle income,2023,"4,655.4 (3,890.3<e2><80><93>5,593.1)","1,174.38 (984.81<e2><80><93>1,407.01)"
