Age Group,DALYs (point estimate),VLW (billion constant-2023 USD; point estimate),Share of total VLW (%)
<5 years,0,0,0.0
5-9 years,0,0,0.0
10-14 years,0,0,0.0
15-19 years,9429,1.854,0.1
20-24 years,16862,3.318,0.2
25-29 years,31754,6.505,0.4
30-34 years,85110,17.585,1.2
35-39 years,166416,35.55,2.4
40-44 years,269020,58.023,3.9
45-49 years,436074,97.553,6.5
50-54 years,686077,156.782,10.5
55-59 years,910722,211.326,14.1
60-64 years,1011450,233.963,15.6
65-69 years,1024797,240.933,16.1
70-74 years,832014,197.693,13.2
75-79 years,510474,122.432,8.2
80-84 years,275935,66.834,4.5
85-89 years,143373,34.929,2.3
90-94 years,47229,11.749,0.8
95+ years,11918,2.923,0.2
