model,Year,Group,DALY,DALY_scenario_low,DALY_scenario_high,VLW_billion,VLW_scenario_low_billion,VLW_scenario_high_billion,scenario_nominal_level,simulation_draws,interval_interpretation,method
ARIMA,2024,All LMICs,6385930.481173182,6256703.557875448,6513073.441826616,1470.3334527976383,1440.1573772140694,1500.0514694845922,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2025,All LMICs,6484053.1432400765,6229768.678892773,6739741.483809171,1487.0190406990505,1426.5843516697335,1547.4957368661694,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2026,All LMICs,6818412.753237404,6486684.596101928,7151017.879202027,1564.1925413065978,1486.2331920285412,1642.3841883073376,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2027,All LMICs,7145534.597800401,6782221.132124072,7512820.541764076,1639.5128291647648,1555.7880477815872,1723.9730370479147,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2028,All LMICs,7273026.5510264905,6870876.071594755,7672048.94587773,1663.7183547196282,1573.72986464982,1752.957089976474,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2029,All LMICs,7286494.066497587,6839017.080101709,7733018.368934015,1658.7281922260618,1559.7144063665937,1756.938248784738,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2030,All LMICs,7396484.405171482,6882639.8793540355,7910892.97902303,1678.452470700298,1566.2333688616316,1790.5179118067974,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2031,All LMICs,7658797.02631495,7076255.737006145,8239863.738054734,1737.1785099318395,1610.5046259901494,1863.3482818452592,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2032,All LMICs,7932877.485047355,7310519.484959359,8560792.653810833,1798.9176761913732,1666.5686215478174,1933.2623137764447,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2033,All LMICs,8088077.180221331,7415726.9003201835,8753620.37696901,1830.217703647444,1689.0843459286843,1970.126108049906,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2034,All LMICs,8162069.659676233,7451352.638938699,8886837.656547518,1840.7248152681389,1692.9537235295356,1991.3864808795172,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2035,All LMICs,8285539.9828334935,7503121.206709398,9062825.398312028,1863.9006119399007,1702.1611114438333,2024.4012019154927,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2036,All LMICs,8505909.274544235,7647477.319879425,9359705.428337913,1911.887160708339,1736.7666356971038,2086.3944640836785,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
