Rank,Country,Income Group,GDP pc (PPP),DALYs (thousands),VLW (billion USD),VLW/GDP (%)
1,Serbia,Upper middle income,"28,749",38.2 (31.3<e2><80><93>47.5),6.319 (5.182<e2><80><93>7.848),3.3188 (2.7213<e2><80><93>4.1218)
2,Republic of Moldova,Upper middle income,"17,747",11.9 (10.0<e2><80><93>14.0),1.214 (1.024<e2><80><93>1.432),2.7838 (2.3471<e2><80><93>3.2825)
3,Bosnia and Herzegovina,Upper middle income,"22,512",12.8 (10.1<e2><80><93>15.9),1.652 (1.312<e2><80><93>2.053),2.3038 (1.8301<e2><80><93>2.8631)
4,Montenegro,Upper middle income,"31,064",2.4 (1.7<e2><80><93>3.1),0.420 (0.306<e2><80><93>0.546),2.1680 (1.5791<e2><80><93>2.8191)
5,Ukraine,Upper middle income,"17,665",131.9 (110.4<e2><80><93>157.9),13.399 (11.211<e2><80><93>16.041),2.1512 (1.7999<e2><80><93>2.5753)
6,Belarus,Upper middle income,"30,834",32.0 (28.0<e2><80><93>36.3),5.681 (4.960<e2><80><93>6.435),2.0074 (1.7526<e2><80><93>2.2740)
7,North Macedonia,Upper middle income,"24,532",6.3 (5.3<e2><80><93>7.7),0.892 (0.744<e2><80><93>1.093),1.9890 (1.6602<e2><80><93>2.4364)
8,Argentina,Upper middle income,"30,221",136.3 (119.4<e2><80><93>153.9),23.692 (20.753<e2><80><93>26.734),1.7215 (1.5080<e2><80><93>1.9425)
9,Armenia,Upper middle income,"21,534",8.6 (7.4<e2><80><93>10.0),1.066 (0.913<e2><80><93>1.241),1.6693 (1.4303<e2><80><93>1.9438)
10,Georgia,Upper middle income,"25,072",9.6 (8.0<e2><80><93>11.5),1.386 (1.156<e2><80><93>1.655),1.4881 (1.2410<e2><80><93>1.7769)
11,Dominica,Upper middle income,"20,286",0.2 (0.1<e2><80><93>0.2),0.018 (0.013<e2><80><93>0.024),1.3315 (0.9749<e2><80><93>1.7446)
12,Grenada,Upper middle income,"18,971",0.3 (0.2<e2><80><93>0.3),0.029 (0.023<e2><80><93>0.035),1.3002 (1.0293<e2><80><93>1.5976)
13,Albania,Upper middle income,"24,129",5.3 (3.8<e2><80><93>6.7),0.733 (0.533<e2><80><93>0.934),1.2585 (0.9150<e2><80><93>1.6036)
14,Lebanon,Lower middle income,"12,575",11.6 (8.6<e2><80><93>15.3),0.838 (0.624<e2><80><93>1.107),1.1539 (0.8602<e2><80><93>1.5250)
15,Saint Lucia,Upper middle income,"25,975",0.4 (0.3<e2><80><93>0.4),0.053 (0.042<e2><80><93>0.065),1.1381 (0.9019<e2><80><93>1.3889)
16,China,Upper middle income,"25,179","2,765.6 (2,343.1<e2><80><93>3,304.8)",400.374 (339.201<e2><80><93>478.427),1.1272 (0.9549<e2><80><93>1.3469)
17,Thailand,Upper middle income,"23,519",139.5 (110.0<e2><80><93>174.2),18.862 (14.869<e2><80><93>23.550),1.1185 (0.8817<e2><80><93>1.3965)
18,Mauritius,Upper middle income,"29,561",2.4 (2.0<e2><80><93>2.9),0.409 (0.342<e2><80><93>0.487),1.1086 (0.9269<e2><80><93>1.3204)
19,Saint Vincent and the Grenadines,Upper middle income,"19,820",0.2 (0.2<e2><80><93>0.2),0.022 (0.017<e2><80><93>0.027),1.0951 (0.8697<e2><80><93>1.3609)
20,Brazil,Upper middle income,"21,176",395.5 (367.3<e2><80><93>421.8),48.154 (44.718<e2><80><93>51.348),1.0770 (1.0002<e2><80><93>1.1485)
21,Mongolia,Upper middle income,"18,005",6.4 (4.8<e2><80><93>8.1),0.658 (0.494<e2><80><93>0.841),1.0506 (0.7879<e2><80><93>1.3417)
22,Cabo Verde,Upper middle income,"10,242",0.9 (0.6<e2><80><93>1.3),0.054 (0.036<e2><80><93>0.075),1.0042 (0.6822<e2><80><93>1.4054)
23,Tunisia,Lower middle income,"14,041",20.4 (14.7<e2><80><93>26.5),1.644 (1.185<e2><80><93>2.139),0.9597 (0.6919<e2><80><93>1.2488)
24,Suriname,Upper middle income,"21,110",1.0 (0.7<e2><80><93>1.4),0.120 (0.086<e2><80><93>0.165),0.9073 (0.6454<e2><80><93>1.2448)
25,El Salvador,Upper middle income,"12,680",9.7 (7.2<e2><80><93>12.7),0.710 (0.526<e2><80><93>0.926),0.8875 (0.6580<e2><80><93>1.1572)
26,Peru,Upper middle income,"17,011",51.0 (42.9<e2><80><93>61.5),4.987 (4.197<e2><80><93>6.011),0.8662 (0.7289<e2><80><93>1.0440)
27,Tuvalu,Upper middle income,"6,151",0.0 (0.0<e2><80><93>0.0),0.001 (0.000<e2><80><93>0.001),0.8518 (0.5595<e2><80><93>1.1947)
28,Bolivia (Plurinational State of),Lower middle income,"12,892",18.0 (12.5<e2><80><93>24.9),1.336 (0.923<e2><80><93>1.845),0.8463 (0.5846<e2><80><93>1.1686)
29,Dominican Republic,Upper middle income,"25,840",16.1 (11.4<e2><80><93>21.7),2.395 (1.691<e2><80><93>3.230),0.8179 (0.5775<e2><80><93>1.1030)
30,Kazakhstan,Upper middle income,"38,515",27.7 (23.9<e2><80><93>32.1),6.129 (5.287<e2><80><93>7.102),0.7827 (0.6753<e2><80><93>0.9070)
31,Libya,Upper middle income,"13,847",9.9 (6.2<e2><80><93>14.6),0.784 (0.495<e2><80><93>1.165),0.7753 (0.4897<e2><80><93>1.1515)
32,Azerbaijan,Upper middle income,"23,652",13.6 (9.8<e2><80><93>17.8),1.849 (1.328<e2><80><93>2.416),0.7699 (0.5529<e2><80><93>1.0060)
33,Jamaica,Upper middle income,"12,651",3.8 (3.1<e2><80><93>4.6),0.274 (0.223<e2><80><93>0.337),0.7639 (0.6204<e2><80><93>0.9383)
34,Paraguay,Upper middle income,"17,564",9.0 (7.2<e2><80><93>11.3),0.910 (0.730<e2><80><93>1.140),0.7573 (0.6075<e2><80><93>0.9479)
35,Iraq,Upper middle income,"14,653",57.9 (43.5<e2><80><93>72.7),4.881 (3.663<e2><80><93>6.127),0.7391 (0.5546<e2><80><93>0.9276)
36,Marshall Islands,Upper middle income,"7,549",0.0 (0.0<e2><80><93>0.1),0.002 (0.001<e2><80><93>0.004),0.7218 (0.4529<e2><80><93>1.1972)
37,South Africa,Upper middle income,"15,200",78.2 (63.5<e2><80><93>98.1),6.832 (5.546<e2><80><93>8.572),0.7111 (0.5772<e2><80><93>0.8921)
38,Colombia,Upper middle income,"20,944",63.6 (58.3<e2><80><93>69.0),7.658 (7.020<e2><80><93>8.308),0.6988 (0.6406<e2><80><93>0.7581)
39,Tonga,Upper middle income,"7,803",0.1 (0.1<e2><80><93>0.2),0.006 (0.004<e2><80><93>0.008),0.6944 (0.4480<e2><80><93>0.9715)
40,Jordan,Lower middle income,"10,412",13.5 (9.8<e2><80><93>17.9),0.811 (0.585<e2><80><93>1.074),0.6808 (0.4911<e2><80><93>0.9021)
41,Mexico,Upper middle income,"24,917",149.8 (133.7<e2><80><93>167.0),21.464 (19.155<e2><80><93>23.919),0.6639 (0.5925<e2><80><93>0.7399)
42,Egypt,Lower middle income,"18,525",125.1 (88.9<e2><80><93>166.5),13.322 (9.463<e2><80><93>17.733),0.6279 (0.4460<e2><80><93>0.8358)
43,Belize,Upper middle income,"13,730",0.4 (0.4<e2><80><93>0.5),0.035 (0.028<e2><80><93>0.042),0.6205 (0.5031<e2><80><93>0.7502)
