model,Year,Group,DALY,DALY_scenario_low,DALY_scenario_high,VLW_billion,VLW_scenario_low_billion,VLW_scenario_high_billion,scenario_nominal_level,simulation_draws,interval_interpretation,method
ARIMA,2025,All LMICs,6484053.1432400765,6229768.678892773,6739741.483809171,759.6484931687615,728.0107627369093,791.2013331644466,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2025,Low income,162385.26676703437,157575.8260836472,167194.70745042153,2.217035974448666,2.151372979126907,2.2826989697704243,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2025,Lower middle income,1617758.8668596272,1554798.6645475957,1680719.0691716587,97.65627697627112,93.85567412907353,101.45687982346868,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2025,Upper middle income,4703909.009613415,4495840.9336429415,4911977.085583889,659.7751802180418,630.5913350287568,688.9590254073266,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2025,All LMICs,6864116.143930243,6585344.456203932,7139683.473648266,813.0737867585191,777.0740728031703,848.551736342708,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ETS,2025,Low income,161813.8314433763,156515.79972746107,167111.8631592915,2.209234203420767,2.136900505039095,2.281567901802439,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2025,Lower middle income,1617196.7269958158,1558978.5360242613,1675414.9179673702,97.62234331201228,94.10799275023051,101.13669387379404,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2025,Upper middle income,5085105.585491051,4843043.470619414,5327167.700362688,713.242209243086,679.2903247281005,747.1940937580715,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2030,All LMICs,7396484.405171482,6882639.8793540355,7910892.97902303,851.4245789902552,795.722359303473,907.2194949305049,95,50000,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,"Pointwise joint normal simulation across income groups at each horizon, using the marginal forecast dispersion and the fixed cross-sectional residual correlation; horizons are simulated independently and the draws are not temporal paths"
ARIMA,2030,Low income,211274.17143375034,185825.00344663244,236723.33942086823,2.884513157295554,2.5370572453736124,3.231969069217496,95,NA,Model-dependent scenario range; nominal level is a construction parameter and is not a validated coverage claim,Group DALY forecast monetized using the fixed 2023 group effective VSLY
