Country,Sex,Income Group,DALYs,VLW (billion USD),VLW undiscounted (billion USD),VLW/GDP (%)
Zimbabwe,Male,Lower middle income,"3,806 (2,408<e2><80><93>5,320)",0.034 (0.021<e2><80><93>0.047),0.017 (0.011<e2><80><93>0.024),0.0355 (0.0225<e2><80><93>0.0497)
Zimbabwe,Female,Lower middle income,"3,578 (2,309<e2><80><93>5,085)",0.032 (0.020<e2><80><93>0.045),0.015 (0.010<e2><80><93>0.022),0.0334 (0.0216<e2><80><93>0.0475)
Guatemala,Male,Upper middle income,"4,348 (3,621<e2><80><93>5,195)",0.140 (0.117<e2><80><93>0.168),0.065 (0.054<e2><80><93>0.078),0.0564 (0.0469<e2><80><93>0.0673)
Guatemala,Female,Upper middle income,"5,637 (4,604<e2><80><93>6,851)",0.182 (0.149<e2><80><93>0.221),0.081 (0.066<e2><80><93>0.098),0.0731 (0.0597<e2><80><93>0.0888)
Maldives,Male,Upper middle income,140 (97<e2><80><93>185),0.011 (0.008<e2><80><93>0.014),0.005 (0.003<e2><80><93>0.006),0.0842 (0.0583<e2><80><93>0.1107)
Maldives,Female,Upper middle income,115 (85<e2><80><93>153),0.009 (0.007<e2><80><93>0.012),0.004 (0.003<e2><80><93>0.005),0.0693 (0.0511<e2><80><93>0.0916)
Micronesia (Federated States of),Male,Lower middle income,59 (40<e2><80><93>79),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.0681 (0.0465<e2><80><93>0.0917)
Micronesia (Federated States of),Female,Lower middle income,21 (15<e2><80><93>29),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.0246 (0.0175<e2><80><93>0.0339)
Mexico,Male,Upper middle income,"72,648 (64,503<e2><80><93>81,692)",5.727 (5.085<e2><80><93>6.439),2.563 (2.276<e2><80><93>2.883),0.1771 (0.1573<e2><80><93>0.1992)
Mexico,Female,Upper middle income,"77,172 (69,203<e2><80><93>85,266)",6.083 (5.455<e2><80><93>6.721),2.608 (2.338<e2><80><93>2.881),0.1882 (0.1687<e2><80><93>0.2079)
Montenegro,Male,Upper middle income,"1,409 (1,042<e2><80><93>1,819)",0.155 (0.114<e2><80><93>0.200),0.066 (0.049<e2><80><93>0.086),0.7985 (0.5901<e2><80><93>1.0306)
Montenegro,Female,Upper middle income,"942 (671<e2><80><93>1,238)",0.103 (0.074<e2><80><93>0.136),0.043 (0.030<e2><80><93>0.056),0.5335 (0.3800<e2><80><93>0.7013)
Mali,Male,Low income,"7,648 (5,074<e2><80><93>10,675)",0.027 (0.018<e2><80><93>0.038),0.014 (0.009<e2><80><93>0.020),0.0363 (0.0241<e2><80><93>0.0507)
Mali,Female,Low income,"4,350 (2,964<e2><80><93>6,007)",0.016 (0.011<e2><80><93>0.022),0.008 (0.005<e2><80><93>0.011),0.0207 (0.0141<e2><80><93>0.0285)
