Income Group,Year,DALYs (thousands; point estimate),VLW (billion constant-2023 USD; point estimate)
Low income,1990,37.6,0.09
Low income,2000,44.1,0.11
Low income,2010,63.7,0.15
Low income,2023,142.8,0.34
Lower middle income,1990,333.7,6.9
Lower middle income,2000,485.1,10.31
Lower middle income,2010,739.6,16.56
Lower middle income,2023,1467.5,32.93
Upper middle income,1990,1947.1,155.19
Upper middle income,2000,2611.1,208.66
Upper middle income,2010,3348.8,261.87
Upper middle income,2023,4858.3,378.04
