model,Year,Group,DALY,DALY_lower_95_PI,DALY_upper_95_PI,VLW_billion,VLW_lower_95_PI_billion,VLW_upper_95_PI_billion,interval_level,simulation_draws,method
ARIMA,2025,All LMICs,6484053.1432400765,6229768.678892773,6739741.483809171,402.70877441428354,385.6437838792157,419.6770182987516,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2025,Low income,162385.26676703437,157575.8260836472,167194.70745042153,0.3873500900426727,0.3758777605705811,0.3988224195147643,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2025,Lower middle income,1617758.8668596272,1554798.6645475957,1680719.0691716587,36.30124778702624,34.88846993015873,37.714025643893756,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2025,Upper middle income,4703909.009613415,4495840.9336429415,4911977.085583889,366.02017653721464,349.8300007190114,382.21035235541785,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2025,All LMICs,6864116.143930243,6585344.456203932,7139683.473648266,432.3564335956615,412.73673358749693,451.71838192616093,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2025,Low income,161813.8314433763,156515.79972746107,167111.8631592915,0.38598700133099745,0.3733491980187495,0.3986248046432454,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2025,Lower middle income,1617196.7269958158,1558978.5360242613,1675414.9179673702,36.28863380671977,34.98226298751771,37.59500462592184,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ETS,2025,Upper middle income,5085105.585491051,4843043.470619414,5327167.700362688,395.68181278761074,376.84649564239885,414.51712993282257,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2030,All LMICs,7396484.405171482,6882639.8793540355,7910892.97902303,449.21862590501814,420.180935961849,478.25478670205837,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2030,Low income,211274.17143375034,185825.00344663244,236723.33942086823,0.5039685616673686,0.44326270018386593,0.5646744231508712,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
ARIMA,2030,Lower middle income,1993407.0544922089,1778064.9009044678,2208749.20807995,44.7305002667043,39.898390218341476,49.56261031506712,95,NA,Group DALY forecast monetized using the fixed 2023 group effective VSLY
