model,Year,Group,DALY,DALY_lower_95_PI,DALY_upper_95_PI,VLW_billion,VLW_lower_95_PI_billion,VLW_upper_95_PI_billion,interval_level,simulation_draws,method
ETS,2024,All LMICs,6668300.135051625,6489833.01982097,6850108.755812965,421.9360184993229,409.3117363549664,434.7472878766979,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2025,All LMICs,6864116.143930243,6585344.456203932,7139683.473648266,432.3564335956615,412.73673358749693,451.71838192616093,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2026,All LMICs,7056015.823324386,6686728.055977402,7426236.894702817,442.5684397570469,416.94159232370953,468.269584828922,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2027,All LMICs,7244077.500009881,6776068.649276694,7708907.334939033,452.5762051748388,420.63958022519375,484.3311022229381,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2028,All LMICs,7428377.9342233185,6866398.8852597885,7987502.135558477,462.3838146763163,424.3153419671742,500.39165963473096,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2029,All LMICs,7608992.350992906,6945525.546176059,8267705.162509799,471.99527139196516,427.59578948168695,516.0363568452929,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2030,All LMICs,7785994.470842712,7014800.990844799,8548881.024780871,481.41449838941764,430.37909237217605,532.3204588850226,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2031,All LMICs,7959456.53988282,7085867.972309028,8834959.130078422,490.64534027471564,432.9458334178115,548.3630991275274,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2032,All LMICs,8129449.359297682,7140008.103879496,9121801.131888898,499.6915647615463,434.66156697235976,564.4371432415775,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2033,All LMICs,8296042.3142446885,7198366.213646475,9391449.731407516,508.5568642090942,437.365886881956,579.4669609423189,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2034,All LMICs,8459303.40217479,7240080.720110877,9661731.062114347,517.2448571291361,438.6827177086373,594.4984951261539,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2035,All LMICs,8619299.260586683,7301367.421013604,9949356.700296117,525.759089662993,440.9348796525428,611.0647007159241,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2036,All LMICs,8776095.194225926,7334149.055949235,10215075.2545766,534.1030370289445,442.0336663385702,626.587920942873,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2037,All LMICs,8929755.20174006,7351610.6040857965,10505483.49774765,542.2801049406934,442.636359796178,641.7303183023242,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2038,All LMICs,9080342.001800634,7393393.253672212,10764723.239879565,550.2936309974612,442.5978774862626,656.8521892206766,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2039,All LMICs,9227917.058702787,7410694.860755126,11022764.161491543,558.1468860462826,443.1809351036903,671.6586552417676,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2040,All LMICs,9372540.60745283,7446562.7545670485,11302504.80284047,565.8430755170529,444.24360858424507,688.121955062309,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2041,All LMICs,9514271.678354086,7435878.785618326,11580352.184719574,573.3853407308743,443.51840514853706,702.9517245681682,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2042,All LMICs,9653168.121101009,7465390.86425277,11852904.78721754,580.7767601822369,443.9610128027256,718.3605968743016,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2043,All LMICs,9789286.628391411,7465076.759479545,12121458.193972548,588.0203507955534,443.36941727549834,733.5638582948535,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2044,All LMICs,9922682.759066455,7463625.920113379,12394665.388206093,595.119069156565,441.9411154322424,748.9882114719829,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2045,All LMICs,10053410.96078784,7455791.380866018,12638858.49307961,602.0758127191189,441.90921564055367,763.6217465068912,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2046,All LMICs,10181524.592261445,7450354.781960918,12916172.35589679,608.8934209878087,439.20851741977054,779.226476493549,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2047,All LMICs,10307075.945016487,7452616.194210742,13149532.743528025,615.5746766769639,438.41317263622574,791.270648522812,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2048,All LMICs,10430116.264749123,7463955.205584987,13438447.744885245,622.122306846459,439.7232453896142,807.7022879526018,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2049,All LMICs,10550695.772239149,7417997.595063822,13662934.794876426,628.5389840148043,435.8348057820329,819.0911343135391,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ETS,2050,All LMICs,10668863.683848374,7395645.411140123,13932763.265192563,634.827327249978,433.60992661996465,836.2182696050323,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2024,All LMICs,6385930.481173182,6256703.557875448,6513073.441826616,399.97129678785035,391.5871055041307,408.1887262740077,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
ARIMA,2025,All LMICs,6484053.1432400765,6229768.678892773,6739741.483809171,402.70877441428354,385.6437838792157,419.6770182987516,95,50000,Joint normal simulation using explicit 95% marginal forecast intervals and empirical residual correlation
