series,method,alpha,beta,phi,sigma2,AIC,AICc,BIC,RMSE,LjungBox_p
IE05|VLW|Low income,"ETS(A,Ad,N)",0.9998999982911665,0.5642381098313671,0.979999998013077,0.011888225216545346,-24.206974555408138,-21.095863444297027,-15.04881140771117,0.10069735250912756,0.41102492604367424
IE05|DALY|Low income,"ETS(A,Ad,N)",0.9985057126827661,0.9985054091833045,0.9799999575250353,1488563.0384034766,609.7409997197288,612.8521108308399,618.8991628674258,1126.7904460131417,0.7916232977789984
IE05|VLW|Lower middle income,"ETS(A,Ad,N)",0.7716545936331531,0.46030274002337945,0.9799999925894092,9.368580440929703,202.558352087052,205.6694631981631,211.71651523474895,2.826808805551929,0.4836227551715562
IE05|DALY|Lower middle income,"ETS(A,Ad,N)",0.6854145564108274,0.43986219056291026,0.9799999380881701,388434055.0982746,798.9276132341294,802.0387243452404,808.0857763818263,18201.961431031646,0.6792747257416971
IE05|VLW|Upper middle income,"ETS(A,Ad,N)",0.9998999791519306,0.13884704633531125,0.9799999599128233,441.53586669632745,333.55687289003794,336.667984001149,342.7150360377349,19.40629077371372,0.009716028661106657
IE05|DALY|Upper middle income,"ETS(A,Ad,N)",0.9998999697886808,0.15137035777398186,0.9799999613144625,6418141727.028785,894.2894699319872,897.4005810430983,903.4476330796842,73988.49475024414,0.008062102034003149
IE05|VLW|Male,"ETS(A,Ad,N)",0.9998999359078597,0.1590764749247458,0.9799999464039608,251.7958500901344,314.4610919964722,317.5722031075833,323.6192551441692,14.654932569148556,0.008809207113326889
IE05|VLW|Female,"ETS(A,Ad,N)",0.9998997555723599,0.9998992540545286,0.8954076149772542,48.58504913088357,258.5207972054422,261.6319083165533,267.67896035313913,6.437405452865088,0.017830603498297903
IE1|VLW|Low income,"ETS(A,Ad,N)",0.999899999045202,0.6067249636346762,0.975888548840234,3.4605784031444735e-4,-144.45469914397867,-141.34358803286756,-135.2965359962817,0.017180424367421072,0.43734586486322724
IE1|DALY|Low income,"ETS(A,Ad,N)",0.9985057126827661,0.9985054091833045,0.9799999575250353,1488563.0384034766,609.7409997197288,612.8521108308399,618.8991628674258,1126.7904460131417,0.7916232977789984
IE1|VLW|Lower middle income,"ETS(A,Ad,N)",0.8823766607503207,0.5036688957134494,0.9799841734093355,1.0435739164285394,127.93820174389381,131.04931285500493,137.09636489159078,0.943454908309124,0.6139176497482787
IE1|DALY|Lower middle income,"ETS(A,Ad,N)",0.6854145564108274,0.43986219056291026,0.9799999380881701,388434055.0982746,798.9276132341294,802.0387243452404,808.0857763818263,18201.961431031646,0.6792747257416971
IE1|VLW|Upper middle income,"ETS(A,Ad,N)",0.9998999760754048,0.12964665457574276,0.97999999194421,135.78027250351312,293.4633480374311,296.5744591485422,302.62151118512804,10.761625591454274,0.010932046218989022
IE1|DALY|Upper middle income,"ETS(A,Ad,N)",0.9998999697886808,0.15137035777398186,0.9799999613144625,6418141727.028785,894.2894699319872,897.4005810430983,903.4476330796842,73988.49475024414,0.008062102034003149
IE1|VLW|Male,"ETS(A,Ad,N)",0.9998998727050763,0.1318124046075172,0.9799999012525713,74.52992582353123,273.06888316318395,276.17999427429504,282.22704631088095,7.9730572940490285,0.017272116977615548
IE1|VLW|Female,"ETS(A,Ad,N)",0.9998999427659111,0.9998998320164518,0.8671200775339624,13.935903539232253,216.05998716477666,219.17109827588777,225.21815031247363,3.447681243957073,0.011757119328806631
IE15|VLW|Low income,"ETS(A,Ad,N)",0.999899880914871,0.9998525201310278,0.93454651865620475,1.0597633021263016e-5,-262.9778577569757,-259.8667466458646,-253.81969460927874,0.0030065191795429526,0.8537591870203767
IE15|DALY|Low income,"ETS(A,Ad,N)",0.9985057126827661,0.9985054091833045,0.9799999575250353,1488563.0384034766,609.7409997197288,612.8521108308399,618.8991628674258,1126.7904460131417,0.7916232977789984
IE15|VLW|Lower middle income,"ETS(A,Ad,N)",0.9630394562367021,0.5839150114685172,0.9799999774750229,0.11647181648717551,53.384455790054,56.49556690116511,62.542618937750966,0.3151882107253346,0.4606527979370806
IE15|DALY|Lower middle income,"ETS(A,Ad,N)",0.6854145564108274,0.43986219056291026,0.9799999380881701,388434055.0982746,798.9276132341294,802.0387243452404,808.0857763818263,18201.961431031646,0.6792747257416971
IE15|VLW|Upper middle income,"ETS(A,Ad,N)",0.9998999941045353,0.12433481997372128,0.9799999328148985,41.84931383406674,253.44662185219278,256.55773296330386,262.6047849998897,5.974529519227079,0.0120387635873066
IE15|DALY|Upper middle income,"ETS(A,Ad,N)",0.9998999697886808,0.15137035777398186,0.9799999613144625,6418141727.028785,894.2894699319872,897.4005810430983,903.4476330796842,73988.49475024414,0.008062102034003149
IE15|VLW|Male,"ETS(A,Ad,N)",0.9998999554193726,0.12100398725438077,0.9799999837433233,22.543344902334795,232.41301468721502,235.52412579832614,241.571177834912,4.384991120011496,0.019866650740728353
IE15|VLW|Female,"ETS(A,Ad,N)",0.9998999997909641,0.9998998128368825,0.9311474774756439,4.178042799249036,175.10271705883596,178.21382816994708,184.26088020653293,1.887756536351005,0.006398667258999291
