IE,series,model,method,alpha,beta,phi,sigma2,AIC,AICc,BIC,RMSE,Ljung_Box_lag,Ljung_Box_fitdf,Ljung_Box_p,residual_autocorrelation_detected,residual_autocorrelation_signal
0.5,DALY|Low income,ARIMA,"ARIMA(0,2,0)",NA,NA,NA,1204267.4810107676,540.8541623017696,540.987495635103,542.3198982045693,1064.6258579528776,6,0,0.9130518874851072,No,No
0.5,DALY|Lower middle income,ARIMA,"ARIMA(0,2,1)",NA,NA,NA,364791828.6582313,725.2142434565026,725.6280365599508,728.145715262102,18237.44264870649,6,1,0.5923091166627176,No,No
0.5,DALY|Upper middle income,ARIMA,"ARIMA(3,1,0)",NA,NA,NA,2545272876.772559,816.7716258872138,818.9938481094359,824.2541636945462,46593.64808590402,6,3,0.2882447320013748,No,No
0.5,DALY|Low income,ETS,"ETS(A,Ad,N)",0.9985057126827661,0.9985054091833045,0.9799999575250353,1488563.0384034766,609.7409997197288,612.8521108308399,618.8991628674258,1126.7904460131417,8,5,0.5592691983726177,No,No
0.5,DALY|Lower middle income,ETS,"ETS(A,Ad,N)",0.6964869480039616,0.4478082566643504,0.9799999851347674,385457446.3557871,798.6660644352852,801.7771755463963,807.8242275829822,18132.085588096412,8,5,0.4393304937376168,No,No
0.5,DALY|Upper middle income,ETS,"ETS(A,Ad,N)",0.9998997692083631,0.16228671775657227,0.9799999304587323,6509663683.429567,894.7708816497683,897.8819927608794,903.9290447974653,74514.16107406885,8,5,0.0011387457325466865,Yes,Yes
0.5,IE05|VLW|Male,ARIMA,"ARIMA(3,1,0)",NA,NA,NA,101.93032206638203,254.67157494905985,256.8937971712821,262.15411275639224,9.324192663245759,6,3,0.29463496126981137,No,No
0.5,IE05|VLW|Female,ARIMA,"ARIMA(2,2,2)",NA,NA,NA,27.614192087874354,205.71817761465567,208.025869922348,213.0468571286543,4.768762875891901,7,4,0.4319007338826628,No,No
1,DALY|Low income,ARIMA,"ARIMA(0,2,0)",NA,NA,NA,1204267.4810107676,540.8541623017696,540.987495635103,542.3198982045693,1064.6258579528776,6,0,0.9130518874851072,No,No
1,DALY|Lower middle income,ARIMA,"ARIMA(0,2,1)",NA,NA,NA,364791828.6582313,725.2142434565026,725.6280365599508,728.145715262102,18237.44264870649,6,1,0.5923091166627176,No,No
1,DALY|Upper middle income,ARIMA,"ARIMA(3,1,0)",NA,NA,NA,2545272876.772559,816.7716258872138,818.9938481094359,824.2541636945462,46593.64808590402,6,3,0.2882447320013748,No,No
1,DALY|Low income,ETS,"ETS(A,Ad,N)",0.9985057126827661,0.9985054091833045,0.9799999575250353,1488563.0384034766,609.7409997197288,612.8521108308399,618.8991628674258,1126.7904460131417,8,5,0.5592691983726177,No,No
1,DALY|Lower middle income,ETS,"ETS(A,Ad,N)",0.6964869480039616,0.4478082566643504,0.9799999851347674,385457446.3557871,798.6660644352852,801.7771755463963,807.8242275829822,18132.085588096412,8,5,0.4393304937376168,No,No
1,DALY|Upper middle income,ETS,"ETS(A,Ad,N)",0.9998997692083631,0.16228671775657227,0.9799999304587323,6509663683.429567,894.7708816497683,897.8819927608794,903.9290447974653,74514.16107406885,8,5,0.0011387457325466865,Yes,Yes
1,IE1|VLW|Male,ARIMA,"ARIMA(3,1,2)",NA,NA,NA,29.208857153293085,216.4664264752774,220.94642647527738,226.94197940554275,4.816146687534589,8,5,0.23641052669863283,No,No
1,IE1|VLW|Female,ARIMA,"ARIMA(2,2,2)",NA,NA,NA,7.507631677904063,164.23931391560163,166.54700622329395,171.56799342960025,2.48651472938537,7,4,0.3948102268526551,No,No
1.5,DALY|Low income,ARIMA,"ARIMA(0,2,0)",NA,NA,NA,1204267.4810107676,540.8541623017696,540.987495635103,542.3198982045693,1064.6258579528776,6,0,0.9130518874851072,No,No
1.5,DALY|Lower middle income,ARIMA,"ARIMA(0,2,1)",NA,NA,NA,364791828.6582313,725.2142434565026,725.6280365599508,728.145715262102,18237.44264870649,6,1,0.5923091166627176,No,No
1.5,DALY|Upper middle income,ARIMA,"ARIMA(3,1,0)",NA,NA,NA,2545272876.772559,816.7716258872138,818.9938481094359,824.2541636945462,46593.64808590402,6,3,0.2882447320013748,No,No
1.5,DALY|Low income,ETS,"ETS(A,Ad,N)",0.9985057126827661,0.9985054091833045,0.9799999575250353,1488563.0384034766,609.7409997197288,612.8521108308399,618.8991628674258,1126.7904460131417,8,5,0.5592691983726177,No,No
1.5,DALY|Lower middle income,ETS,"ETS(A,Ad,N)",0.6964869480039616,0.4478082566643504,0.9799999851347674,385457446.3557871,798.6660644352852,801.7771755463963,807.8242275829822,18132.085588096412,8,5,0.4393304937376168,No,No
1.5,DALY|Upper middle income,ETS,"ETS(A,Ad,N)",0.9998997692083631,0.16228671775657227,0.9799999304587323,6509663683.429567,894.7708816497683,897.8819927608794,903.9290447974653,74514.16107406885,8,5,0.0011387457325466865,Yes,Yes
1.5,IE15|VLW|Male,ARIMA,"ARIMA(3,1,2)",NA,NA,NA,8.813623589768923,176.78693711919203,181.26693711919202,187.2624900494574,2.6455725329632207,8,5,0.3539787279618205,No,No
1.5,IE15|VLW|Female,ARIMA,"ARIMA(2,2,2)",NA,NA,NA,2.190435859001383,124.95489955179815,127.26259185949046,132.28357906579677,1.3430891089096526,7,4,0.3904215882140445,No,No
